Ev No,Fiyat,Adres,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu
Ev-469,"3,250,000TL",Elazığ - Elazığ Merkez - Cumhuriyet Mahallesi,200 m²,4+1,Yüksek Giriş,Merkezi Doğalgaz,220 m²,5-10,8,Mülk Sahibi Oturuyor
Ev-470,"2,350,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,130 m²,3+1,2.Kat,Kombi Doğalgaz,150 m²,5-10,Bilinmiyor,Boş
Ev-471,"5,950,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,200 m²,4+1,2.Kat,Merkezi (Pay Ölçer),220 m²,5-10,8,Mülk Sahibi Oturuyor
Ev-472,"2,350,000TL",Elazığ - Elazığ Merkez - Cumhuriyet Mahallesi,200 m²,4+1,Yüksek Giriş,Kombi Doğalgaz,220 m²,5-10,8,Mülk Sahibi Oturuyor
Ev-473,"1,650,000TL",Elazığ - Elazığ Merkez - Yemişlik Köyü (Yeniköy Mahallesi),90 m²,2+1,Düz Giriş (Zemin),Merkezi (Pay Ölçer),100 m²,3,4,Kiracı Oturuyor
Ev-474,"2,550,000TL",Elazığ - Elazığ Merkez - Abdullah Paşa Mahallesi,125 m²,2+1,9.Kat,Merkezi Doğalgaz,135 m²,0 (Yeni),12,Boş
Ev-475,"2,100,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,70 m²,2+1,2.Kat,Merkezi (Pay Ölçer),90 m²,5-10,8,Kiracı Oturuyor
Ev-476,"4,250,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,190 m²,4+1,5.Kat,Kombi Doğalgaz,220 m²,0 (Yeni),8,Boş
Ev-477,"3,700,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,200 m²,4+1,1.Kat,Kombi Doğalgaz,230 m²,0 (Yeni),6,Boş
Ev-478,"2,600,000TL",Elazığ - Elazığ Merkez - Rızaiye Mahallesi,120 m²,3+1,6.Kat,Kombi Doğalgaz,143 m²,2,6,Kiracı Oturuyor
Ev-479,"2,650,000TL",Elazığ - Elazığ Merkez - Mustafa Paşa Mahallesi,160 m²,3+1,5.Kat,Kombi Doğalgaz,175 m²,3,8,Kiracı Oturuyor
Ev-480,"3,460,000TL",Elazığ - Elazığ Merkez - Cumhuriyet Mahallesi,165 m²,3+1,5.Kat,Kombi Doğalgaz,185 m²,4,5,Boş
Ev-481,"1,800,000TLarrow_downward%28",Elazığ - Elazığ Merkez - Güneykent Mahallesi,130 m²,2+1,3.Kat,Merkezi Doğalgaz,147 m²,1,5,Boş
Ev-482,"2,800,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,100 m²,2+1,3.Kat,Kombi Doğalgaz,120 m²,0 (Yeni),4,Boş
Ev-483,"3,500,000TL",Elazığ - Elazığ Merkez - Üniversite Mahallesi,170 m²,4+1,5.Kat,Kombi Doğalgaz,190 m²,0 (Yeni),8,Boş
Ev-484,"2,580,000TL",Elazığ - Elazığ Merkez - Doğu Kent Mahallesi,150 m²,3+1,4.Kat,Kombi Doğalgaz,165 m²,0 (Yeni),5,Boş
Ev-485,"3,450,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,160 m²,Bilinmiyor,1.Kat,Kombi Doğalgaz,185 m²,0 (Yeni),8,Boş
Ev-486,"2,250,000TL",Elazığ - Elazığ Merkez - Abdullah Paşa Mahallesi,135 m²,3+1,8.Kat,Merkezi Doğalgaz,165 m²,5-10,11,Mülk Sahibi Oturuyor
Ev-487,"3,200,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,135 m²,3+1,3.Kat,Kombi Doğalgaz,150 m²,0 (Yeni),5,Boş
Ev-488,"2,950,000TL",Elazığ - Elazığ Merkez - Ulu Kent Mahallesi,150 m²,3+1,3.Kat,Kombi Doğalgaz,165 m²,0 (Yeni),6,Boş
Ev-489,"3,300,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,185 m²,4+1,5.Kat,Kombi Doğalgaz,210 m²,0 (Yeni),8,Boş
Ev-490,"2,350,000TL",Elazığ - Elazığ Merkez - Yeni Mahallesi,75 m²,2+1,6.Kat,Kombi Doğalgaz,80 m²,0 (Yeni),8,Boş
Ev-491,"4,250,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,200 m²,4+1,6.Kat,Kombi Doğalgaz,215 m²,0 (Yeni),7,Boş
Ev-492,"2,660,000TL",Elazığ - Elazığ Merkez - Doğu Kent Mahallesi,165 m²,3+1,Yüksek Giriş,Kombi Doğalgaz,175 m²,3,8,Boş
Ev-493,"1,500,000TL",Elazığ - Elazığ Merkez - Kültür Mahallesi,130 m²,3+1,5.Kat,Kombi Doğalgaz,160 m²,21 Ve Üzeri,5,Boş
Ev-494,"3,850,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,150 m²,3+1,6.Kat,Merkezi (Pay Ölçer),160 m²,1,8,Mülk Sahibi Oturuyor
Ev-495,"2,900,000TL",Elazığ - Elazığ Merkez - Doğu Kent Mahallesi,150 m²,3+1,3.Kat,Kombi Doğalgaz,165 m²,0 (Yeni),7,Boş
Ev-496,"1,200,000TL",Elazığ - Elazığ Merkez - Mustafa Paşa Mahallesi,130 m²,3+1,3.Kat,Kombi Doğalgaz,145 m²,21 Ve Üzeri,4,Kiracı Oturuyor
Ev-497,"2,950,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,190 m²,4+1,3.Kat,Merkezi Doğalgaz,218 m²,3,7,Boş
Ev-498,"4,500,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,200 m²,4+1,3.Kat,Kombi Doğalgaz,215 m²,0 (Yeni),8,Boş
Ev-499,"7,000,000TL",Elazığ - Elazığ Merkez - Akçakiraz Bld. (Kültür Mahallesi),250 m²,6+2,Bahçe Katı,Kat Kaloriferi,270 m²,3,2,Mülk Sahibi Oturuyor
Ev-500,"3,500,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,200 m²,4+1,7.Kat,Kombi Doğalgaz,215 m²,3,8,Mülk Sahibi Oturuyor
Ev-501,"2,950,000TL",Elazığ - Elazığ Merkez - Ulu Kent Mahallesi,155 m²,3+1,5.Kat,Kombi Doğalgaz,165 m²,0 (Yeni),7,Boş
Ev-502,"1,200,000TLarrow_downward%4",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,50 m²,1+1,Yüksek Giriş,Kombi Doğalgaz,70 m²,5-10,5,Kiracı Oturuyor
Ev-503,"3,000,000TL",Elazığ - Elazığ Merkez - Ulu Kent Mahallesi,150 m²,3+1,5.Kat,Kombi Doğalgaz,165 m²,0 (Yeni),8,Boş
Ev-504,"2,500,000TL",Elazığ - Elazığ Merkez - Üniversite Mahallesi,230 m²,5+2,5.Kat,Kombi Doğalgaz,250 m²,11-15,5,Boş
Ev-505,"2,800,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,190 m²,4+1,5.Kat,Kombi Doğalgaz,205 m²,0 (Yeni),5,Mülk Sahibi Oturuyor
Ev-506,"2,550,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,230 m²,4+1,1.Kat,Kombi Doğalgaz,250 m²,5-10,Bilinmiyor,Mülk Sahibi Oturuyor
