Ev No,Fiyat,Adres,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu
Ev-158,"1,500,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,50 m²,1+1,2.Kat,Kombi Doğalgaz,70 m²,0 (Yeni),3,Boş
Ev-159,"2,500,000TL",Elazığ - Elazığ Merkez - Abdullah Paşa Mahallesi,100 m²,2+1,3.Kat,Kombi Doğalgaz,115 m²,0 (Yeni),6,Boş
Ev-160,"3,290,000TL",Elazığ - Elazığ Merkez - Abdullah Paşa Mahallesi,135 m²,3+1,4.Kat,Merkezi (Pay Ölçer),150 m²,0 (Yeni),5,Boş
Ev-161,"4,200,000TL",Elazığ - Elazığ Merkez - Cumhuriyet Mahallesi,325 m²,6+2,4.Kat,Kombi Doğalgaz,400 m²,16-20,4,Mülk Sahibi Oturuyor
Ev-162,"1,350,000TL",Elazığ - Elazığ Merkez - Nail Bey Mahallesi,150 m²,3+1,1.Kat,Kombi Doğalgaz,170 m²,16-20,5,Boş
Ev-163,"4,550,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,150 m²,3+1,5.Kat,Kombi Doğalgaz,180 m²,0 (Yeni),9,Boş
Ev-164,"1,680,000TL",Elazığ - Elazığ Merkez - Yeni Mahallesi,145 m²,3+1,1.Kat,Kombi Doğalgaz,160 m²,5-10,5,Kiracı Oturuyor
Ev-165,"1,780,000TL",Elazığ - Elazığ Merkez - Rüstem Paşa Mahallesi,240 m²,5+1,5.Kat,Kombi Doğalgaz,260 m²,11-15,5,Boş
Ev-166,"4,050,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,165 m²,3+1,3.Kat,Kombi Doğalgaz,180 m²,4,6,Kiracı Oturuyor
Ev-167,"4,200,000TL",Elazığ - Elazığ Merkez - Cumhuriyet Mahallesi,195 m²,4+1,2.Kat,Kombi Doğalgaz,215 m²,0 (Yeni),5,Boş
Ev-168,"2,850,000TL",Elazığ - Elazığ Merkez - Yeni Mahallesi,145 m²,3+1,2.Kat,Kombi Doğalgaz,165 m²,2,9,Mülk Sahibi Oturuyor
Ev-169,"6,000,000TL",Elazığ - Elazığ Merkez - Abdullah Paşa Mahallesi,200 m²,4+1,6.Kat,Merkezi Doğalgaz,220 m²,0 (Yeni),12,Boş
Ev-170,"940,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,70 m²,2+1,Düz Giriş (Zemin),Merkezi Doğalgaz,90 m²,11-15,5,Boş
Ev-171,"2,500,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,105 m²,2+1,2.Kat,Kombi Doğalgaz,115 m²,0 (Yeni),5,Boş
Ev-172,"3,320,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,155 m²,3+1,2.Kat,Kombi Doğalgaz,165 m²,0 (Yeni),4,Boş
Ev-173,"1,810,000TL",Elazığ - Elazığ Merkez - Yemişlik Köyü (Yeniköy Mahallesi),110 m²,3+1,Yüksek Giriş,Merkezi (Pay Ölçer),120 m²,2,4,Boş
Ev-174,"1,345,000TL",Elazığ - Elazığ Merkez - Kültür Mahallesi,130 m²,3+1,5.Kat,Kombi Doğalgaz,155 m²,16-20,5,Mülk Sahibi Oturuyor
Ev-175,"3,900,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,180 m²,4+1,8.Kat,Merkezi Doğalgaz,230 m²,5-10,9,Boş
Ev-176,"2,795,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,170 m²,4+1,6.Kat,Merkezi Doğalgaz,200 m²,11-15,6,Mülk Sahibi Oturuyor
